price_date,year,month,rice_NGN,beans_NGN,garri_NGN,yam_NGN
2007-01-01,2007,1,,,34.0,
2007-02-01,2007,2,,,34.0,
2007-03-01,2007,3,,,31.0,
2007-04-01,2007,4,,,36.0,
2007-05-01,2007,5,,,38.0,
2007-06-01,2007,6,,,42.0,
2007-07-01,2007,7,,,33.0,
2007-08-01,2007,8,,,35.0,
2007-09-01,2007,9,,,35.0,
2007-10-01,2007,10,,,38.0,
2007-11-01,2007,11,,,33.0,
2007-12-01,2007,12,,,33.0,
2008-01-01,2008,1,,,40.0,
2008-02-01,2008,2,,,40.0,
2008-03-01,2008,3,,,40.0,
2008-04-01,2008,4,,,49.0,
2008-05-01,2008,5,,,64.0,
2008-06-01,2008,6,,,68.0,
2008-07-01,2008,7,,,63.0,
2008-08-01,2008,8,,,64.0,
2008-09-01,2008,9,,,68.0,
2008-10-01,2008,10,,,64.0,
2008-11-01,2008,11,,,63.0,
2008-12-01,2008,12,,,67.0,
2009-01-01,2009,1,,,81.0,
2009-02-01,2009,2,,,73.0,
2009-03-01,2009,3,,,99.0,
2009-04-01,2009,4,,,103.0,
2009-05-01,2009,5,160.0,,105.5,
2009-06-01,2009,6,180.0,,99.0,
2009-07-01,2009,7,180.0,,94.5,
2009-08-01,2009,8,210.0,,94.5,
2009-09-01,2009,9,,,99.0,
2009-10-01,2009,10,,,95.0,
2009-11-01,2009,11,152.44,,94.5,
2009-12-01,2009,12,152.44,,118.8,
2010-01-01,2010,1,152.22,,94.25,
2010-02-01,2010,2,163.17000000000002,,94.83500000000001,
2010-03-01,2010,3,161.64499999999998,,97.0,
2010-04-01,2010,4,160.12,,108.625,
2010-05-01,2010,5,180.0,,137.5,
2010-06-01,2010,6,160.12,,91.5,
2010-07-01,2010,7,160.12,,76.625,
2010-08-01,2010,8,160.12,,74.75,
2010-09-01,2010,9,163.91500000000002,,70.89,
2010-10-01,2010,10,165.875,,66.66666666666667,
2010-11-01,2010,11,161.31333333333333,,65.33333333333333,
2010-12-01,2010,12,159.81333333333333,,67.0,
2011-01-01,2011,1,163.17000000000002,,67.0,
2011-02-01,2011,2,180.0,,64.5,
2011-03-01,2011,3,153.5,,71.33333333333333,
2011-04-01,2011,4,132.91333333333333,,68.11,
2011-05-01,2011,5,135.5,,68.0,
2011-06-01,2011,6,120.0,,71.5,
2011-07-01,2011,7,136.875,,68.33333333333333,
2011-08-01,2011,8,127.5,,69.0,
2011-09-01,2011,9,146.84333333333333,,63.5,
2011-10-01,2011,10,142.0,,68.5,
2011-11-01,2011,11,144.265,,73.0,
2011-12-01,2011,12,130.0,,85.0,
2012-01-01,2012,1,,,63.0,
2012-02-01,2012,2,,,63.0,
2012-03-01,2012,3,,,75.0,
2012-04-01,2012,4,169.36399999999998,,98.66666666666667,
2012-05-01,2012,5,169.06,,95.16666666666667,
2012-06-01,2012,6,167.27,,92.58333333333333,
2012-07-01,2012,7,169.654,,94.96666666666665,
2012-08-01,2012,8,171.32999999999998,,96.04166666666667,
2012-09-01,2012,9,175.386,,95.66666666666667,
2012-10-01,2012,10,177.344,,95.54166666666667,
2012-11-01,2012,11,174.65,,98.29166666666667,
2012-12-01,2012,12,176.13,,96.8,
2013-01-01,2013,1,174.35,,108.79166666666667,
2013-02-01,2013,2,177.356,,118.625,
2013-03-01,2013,3,188.488,,118.93333333333334,
2013-04-01,2013,4,198.272,,131.04166666666666,
2013-05-01,2013,5,190.472,,132.75,
2013-06-01,2013,6,184.936,,130.83333333333334,
2013-07-01,2013,7,186.546,,131.8,
2013-08-01,2013,8,187.99200000000002,,139.35,
2013-09-01,2013,9,186.796,,133.28,
2013-10-01,2013,10,180.38799999999998,,132.5,
2013-11-01,2013,11,181.336,,124.2,
2013-12-01,2013,12,169.51,,117.0,
2014-01-01,2014,1,156.002,,105.35,
2014-02-01,2014,2,140.446,,102.75,
2014-03-01,2014,3,144.932,,104.73333333333333,
2014-04-01,2014,4,145.03,,103.5,
2014-05-01,2014,5,140.24,,117.0,
2014-07-01,2014,7,193.26799999999997,,130.66666666666666,255.75
2014-08-01,2014,8,193.788,,122.43333333333334,284.5
2014-09-01,2014,9,196.606,,110.58333333333333,324.25
2014-10-01,2014,10,189.988,,113.08333333333333,236.33333333333334
2014-11-01,2014,11,189.91199999999998,,107.96666666666665,195.0
2014-12-01,2014,12,189.25,,106.58333333333333,223.25
2015-01-01,2015,1,186.76,,100.58333333333333,239.83333333333334
2015-02-01,2015,2,181.866,,92.83333333333333,257.8333333333333
2015-03-01,2015,3,181.61599999999999,,98.43333333333334,257.1666666666667
2015-04-01,2015,4,182.292,,99.20833333333333,240.5
2015-05-01,2015,5,183.60399999999998,,100.36666666666667,258.6666666666667
2015-06-01,2015,6,184.55599999999998,,104.70833333333333,301.25
2015-07-01,2015,7,189.116,,104.04166666666667,345.75
2015-08-01,2015,8,192.958,,103.66666666666667,367.4
2015-09-01,2015,9,197.994,,101.54166666666667,347.0
2015-10-01,2015,10,198.266,,100.83333333333333,346.1666666666667
2015-11-01,2015,11,197.658,,99.3,316.8333333333333
2015-12-01,2015,12,195.868,,98.66666666666667,326.8
2016-01-01,2016,1,202.43166666666664,4200.0,108.66666666666667,641.125
2016-02-01,2016,2,212.12666666666667,,134.625,272.0
2016-03-01,2016,3,209.3066666666667,,140.625,350.75
2016-04-01,2016,4,223.08833333333334,,150.125,372.2857142857143
2016-05-01,2016,5,276.514,,166.93333333333334,397.2
2016-06-01,2016,6,298.238,614.25,173.58333333333334,359.15384615384613
2016-07-01,2016,7,307.578,583.625,167.33333333333334,353.9166666666667
2016-08-01,2016,8,358.184,645.375,170.70833333333334,322.27272727272725
2016-09-01,2016,9,372.72200000000004,683.875,173.75,307.54545454545456
2016-10-01,2016,10,378.934,742.0,180.96666666666667,266.6363636363636
2016-11-01,2016,11,371.7616666666667,694.625,192.08333333333334,279.72727272727275
2016-12-01,2016,12,374.795,642.0588235294117,192.54166666666666,316.0
2017-01-01,2017,1,389.2076923076923,697.0,221.0646153846154,331.25
2017-02-01,2017,2,389.8969230769231,702.5625,246.7069230769231,309.85714285714283
2017-03-01,2017,3,381.72999999999996,803.2352941176471,269.2161538461538,326.05263157894734
2017-04-01,2017,4,364.12461538461537,827.6666666666666,293.62384615384616,417.09375
2017-05-01,2017,5,374.3538461538462,804.0,302.25307692307695,413.90625
2017-06-01,2017,6,382.5592307692308,840.8888888888889,313.6623076923077,438.38709677419354
2017-07-01,2017,7,377.2515384615384,1453.9411764705883,306.30384615384617,497.28125
2017-08-01,2017,8,371.7807692307692,1908.235294117647,282.23692307692306,517.030303030303
2017-09-01,2017,9,372.92615384615385,1268.9473684210527,272.6307692307692,411.46875
2017-10-01,2017,10,341.4683333333333,1223.7894736842106,239.36,422.6774193548387
2017-11-01,2017,11,341.47166666666664,1269.8947368421052,219.54666666666665,394.61290322580646
2017-12-01,2017,12,345.05333333333334,1222.578947368421,208.90333333333334,353.3333333333333
2018-01-01,2018,1,349.0916666666667,1335.6315789473683,204.00333333333333,401.8666666666667
2018-02-01,2018,2,338.4583333333333,1421.2631578947369,192.37833333333333,361.2
2018-03-01,2018,3,354.4691666666667,1515.0,189.715,383.4193548387097
2018-04-01,2018,4,346.15,1570.4736842105262,196.82615384615386,443.8709677419355
2018-05-01,2018,5,344.25384615384615,1568.9473684210527,198.23615384615385,562.7272727272727
2018-06-01,2018,6,351.84230769230766,976.6842105263158,211.40153846153845,384.2631578947368
2018-07-01,2018,7,352.81384615384616,941.4736842105264,199.28846153846155,675.6363636363636
2018-08-01,2018,8,351.9676923076923,973.1052631578947,194.55692307692306,560.3939393939394
2018-09-01,2018,9,354.01461538461535,863.7368421052631,191.85307692307694,491.75757575757575
2018-10-01,2018,10,355.35,782.4736842105264,179.96692307692308,494.7878787878788
2018-11-01,2018,11,358.8692307692308,770.2631578947369,177.07692307692307,480.969696969697
2018-12-01,2018,12,356.8146153846154,803.5263157894736,166.4146153846154,434.45454545454544
2019-01-01,2019,1,345.8484615384615,716.578947368421,166.5907692307692,483.38461538461536
2019-02-01,2019,2,345.2153846153846,673.4736842105264,163.86153846153846,504.5151515151515
2019-03-01,2019,3,342.5507692307692,671.3684210526316,158.01230769230767,510.54545454545456
2019-04-01,2019,4,340.86538461538464,616.7777777777778,159.5907692307692,542.3939393939394
2019-05-01,2019,5,349.96000000000004,572.7894736842105,157.0553846153846,539.2307692307693
2019-06-01,2019,6,343.4223076923077,491.57894736842104,148.1430769230769,547.4615384615385
2019-07-01,2019,7,344.7923076923077,464.05263157894734,146.40846153846152,564.0
2019-08-01,2019,8,341.0861538461538,435.2631578947368,147.33615384615385,537.7272727272727
2019-09-01,2019,9,373.64,484.77777777777777,144.0253846153846,503.5625
2019-10-01,2019,10,391.40333333333336,463.2105263157895,144.44916666666666,492.54545454545456
2019-11-01,2019,11,451.0084615384615,449.36842105263156,155.17461538461538,484.93939393939394
2019-12-01,2019,12,456.08923076923077,409.1578947368421,153.31615384615384,472.93939393939394
2020-01-01,2020,1,452.07846153846157,368.36842105263156,153.75615384615384,491.45454545454544
2020-02-01,2020,2,440.6553846153846,356.0,155.00153846153847,474.4848484848485
2020-03-01,2020,3,444.2246153846154,415.0,163.50230769230768,650.6521739130435
2020-04-01,2020,4,487.9553846153846,448.125,200.50384615384615,711.7556521739131
2020-05-01,2020,5,484.02153846153846,462.36842105263156,210.16307692307691,646.7009375
2020-06-01,2020,6,498.1261538461539,500.63157894736844,232.94846153846154,674.5360606060606
2020-07-01,2020,7,517.3953846153846,545.6,240.91615384615383,747.846551724138
2020-08-01,2020,8,535.3753846153846,613.578947368421,243.2653846153846,641.6545454545454
2020-09-01,2020,9,548.3576923076923,621.0,253.73846153846154,574.0575757575758
2020-10-01,2020,10,560.6638461538462,463.2105263157895,258.9676923076923,567.9524242424243
2020-11-01,2020,11,566.2584615384615,677.0526315789474,255.1376923076923,565.1075757575758
2020-12-01,2020,12,560.1546153846155,667.4736842105264,250.52846153846153,583.1330303030303
2021-01-01,2021,1,553.7138461538461,758.2631578947369,255.30384615384614,626.5706060606061
2021-02-01,2021,2,545.5215384615385,811.7894736842105,275.7253846153846,659.2045454545455
2021-03-01,2021,3,550.37,1180.6842105263158,301.66615384615386,663.608
2021-04-01,2021,4,545.876923076923,1326.125,313.54615384615386,731.4556
2021-05-01,2021,5,559.1261538461539,1295.421052631579,336.17384615384617,725.692
2021-06-01,2021,6,570.2538461538462,1420.1764705882354,368.20000000000005,782.0930303030303
2021-07-01,2021,7,569.5161538461539,1569.0588235294117,366.5476923076923,797.2875
2021-08-01,2021,8,561.0176923076923,1650.1176470588234,353.2584615384615,860.0472727272727
2021-09-01,2021,9,570.6392307692307,1669.235294117647,329.4492307692308,801.2984848484848
2021-10-01,2021,10,581.5592307692308,1520.0,315.67615384615385,756.1545454545454
2021-11-01,2021,11,591.2284615384615,1325.5294117647059,306.8284615384615,757.2727272727273
